Boro,Count_Biz,Count_NonBiz,TraveledDistance_Biz,TraveledDistance_NonBiz,FarePerDistance_Biz,FarePerDistance_NonBiz,PercentagePayingCash
Borough Park,810,387,3.812209725,3.818675007,5.3364276,4.726006714,0.605990928
East Flushing,107,112,5.705056796,3.168300099,4.661172703,3.410009161,0.69799026
Auburndale,134,91,4.213124008,3.164394841,3.77491227,2.82213462,0.581611867
Murray Hill,245,215,4.670068824,4.406681464,4.559405161,4.632287096,0.662291817
East Elmhurst,8148,3808,6.234664544,5.184212437,4.30508182,4.319257206,0.55447964
Morrisania-Melrose,1048,593,2.993957859,3.17393237,5.339913869,4.938230398,0.670681482
Rikers Island,48,27,1.361111111,1.291319444,2.488524326,1.384711259,0.288045635
Hollis,60,33,2.501197917,1.810256944,3.109283898,2.410599425,0.706573084
Manhattanville,46113,27388,3.150869227,3.221296985,5.08198733,4.907463262,0.485874499
Springfield Gardens North,202,91,5.946246197,5.19165625,4.046270877,3.365704657,0.667079275
Old Astoria,35512,22307,3.069314451,3.520205435,5.123177232,4.811736135,0.50540184
Bayside-Bayside Hills,156,158,17.45139389,4.693702828,3.686814385,3.080470945,0.590043462
Pomonok-Flushing Heights-Hillcrest,525,301,4.523455696,4.692323405,4.628707226,4.520906947,0.591677362
Clinton,2052732,997935,16.51224309,12.60986753,5.762660816,5.337655327,0.41768835
Homecrest,551,267,4.094835087,4.21548941,5.019071083,4.548580071,0.659242854
Westchester-Unionport,497,353,4.204097886,4.686218207,4.909433849,4.468823567,0.656725516
Fresh Meadows-Utopia,143,93,4.120941316,3.6146312,3.999825877,3.180984879,0.666392571
park-cemetery-etc-Staten Island,0,2,0,0.041666667,0,0.092230903,NA
Rego Park,5694,3187,4.598324876,4.449794533,4.784478994,4.770144246,0.610792632
Midtown-Midtown South,8674686,3198746,20.5443592,27.18536236,5.945967451,5.422724395,0.445620693
Turtle Bay-East Midtown,3508453,1177631,12.39679513,12.16899473,5.867918148,5.24813329,0.392327208
Ft. Totten-Bay Terrace-Clearview,67,53,4.182100694,3.693819444,2.878481101,2.640084479,0.526036706
St. Albans,145,55,4.959508515,3.561666667,4.136378118,2.670987834,0.624461449
Richmond Hill,1250,719,5.043183202,4.918477864,5.05850412,4.910174864,0.639491766
Corona,1667,1036,5.296047274,4.620659464,5.29681706,5.12962531,0.602993189
South Ozone Park,1881,892,9.849290798,8.675757542,4.570823682,4.468457477,0.555630163
Jamaica Estates-Holliswood,281,192,4.698803819,4.18123578,4.429991324,4.0744134,0.585269922
Madison,275,156,4.399414329,3.396847636,4.95392134,4.284576236,0.562300678
Windsor Terrace,2657,1607,4.42102592,4.309688301,4.455411979,4.389742117,0.414727216
Kensington-Ocean Parkway,3182,1693,4.23861405,4.465542895,4.727875935,4.3851292,0.464398029
Erasmus,1326,972,3.855867271,3.616995404,4.991660367,4.893308717,0.620631124
Longwood,320,268,3.556697656,3.745485956,4.883794895,4.4444266,0.731664146
