pickup_longitude,pickup_latitude,pickup_date,pickup_time,pickup_hour,farePerDistance,trip_distance,fare_amount,dropoff_longitude,dropoff_latitude,dropoff_date,dropoff_time,dropoff_hour,payment_type,WWH,pickup_block_int,dropoff_block_int
-73.98768616,40.72425079,1/8/15,22:44:09,22,4.838709677,1.55,7.5,-73.97376251,40.74337769,1/8/15,22:50:56,22,1,1,188,75
-73.96448517,40.76628876,1/1/15,1:16:40,1,4.6875,1.6,7.5,-73.97971344,40.74647141,1/1/15,1:23:58,1,0,1,179,75
-73.98388672,40.78082275,1/9/15,7:10:34,7,5.333333333,1.5,8,-73.98950958,40.76613998,1/9/15,7:20:03,7,1,1,180,14
-73.98754883,40.76152039,1/9/15,9:22:02,9,4.867256637,1.13,5.5,-73.98734283,40.75487137,1/9/15,9:27:13,9,0,1,14,20
-73.9937439,40.74596786,1/9/15,11:19:51,11,10.83333333,0.6,6.5,-73.98557281,40.74010468,1/9/15,11:28:20,11,0,1,20,79
-74.00518036,40.72303772,1/1/15,12:28:19,12,4.375,1.6,7,-74.01560974,40.7081604,1/1/15,12:34:29,12,1,1,106,37
-73.97349548,40.79257965,1/1/15,14:29:36,14,7.777777778,0.45,3.5,-73.97779846,40.78700256,1/1/15,14:31:03,14,0,1,187,187
-74.00751495,40.72745514,1/9/15,16:39:06,16,5,1.9,9.5,-73.99861145,40.72243881,1/9/15,16:50:54,16,0,1,106,106
-73.9543457,40.7812233,1/9/15,18:17:29,18,5.428571429,3.5,19,-73.98896027,40.74448013,1/9/15,18:47:14,18,0,1,179,90
-73.99168396,40.73389435,1/1/15,21:34:14,21,5.388888889,1.8,9.7,-73.99723816,40.7502861,1/1/15,21:45:57,21,0,1,91,90
-73.78240204,40.64462662,1/2/15,0:06:47,0,2.610441767,19.92,52,-73.95674133,40.78421021,1/2/15,0:35:15,0,0,1,158,179
-73.80358887,40.64880371,1/9/15,22:06:43,22,2.561576355,20.3,52,-74.00746155,40.70521545,1/9/15,22:36:01,22,0,1,158,37
-73.97515106,40.79058838,1/9/15,23:25:48,23,4.5,2,9,-73.94926453,40.77904129,1/9/15,23:35:38,23,0,1,187,67
-73.9865799,40.73419189,1/2/15,13:17:47,13,7.786885246,1.22,9.5,-73.99726105,40.72182846,1/2/15,13:30:44,13,0,1,79,106
-73.98509979,40.75363922,1/2/15,15:03:27,15,4.565217391,2.3,10.5,-73.98863983,40.77840424,1/2/15,15:15:39,15,1,1,20,180
-73.96961212,40.76145172,1/10/15,7:39:29,7,4.047619048,2.1,8.5,-73.99461365,40.75026703,1/10/15,7:46:51,7,0,2,21,20
-73.97756195,40.74239731,1/10/15,10:17:23,10,4.390243902,4.1,18,-73.98226166,40.7746582,1/10/15,10:39:22,10,0,2,75,180
-73.94593048,40.77762222,1/10/15,11:51:37,11,3.703703704,2.7,10,-73.93718719,40.80472183,1/10/15,11:59:43,11,0,2,67,128
-73.98567963,40.74683762,1/2/15,22:30:52,22,6.71641791,0.67,4.5,-73.97903442,40.74117279,1/2/15,22:33:47,22,0,1,20,75
-73.97751617,40.75806046,1/10/15,14:55:33,14,4.263565891,2.58,11,-73.98866272,40.72823715,1/10/15,15:09:21,15,1,2,20,188
-73.96233368,40.77326584,1/10/15,16:13:40,16,4.411764706,3.4,15,-73.99290466,40.73167419,1/10/15,16:31:35,16,0,2,179,91
-73.96611023,40.75541306,1/3/15,8:43:27,8,5.555555556,0.9,5,-73.95761108,40.76346207,1/3/15,8:47:23,8,1,2,21,129
-73.99565125,40.75935364,1/3/15,11:16:35,11,6.5,1,6.5,-73.99269104,40.74835968,1/3/15,11:23:32,11,1,2,14,20
-73.95406342,40.76407623,1/10/15,20:22:33,20,5.555555556,0.9,5,-73.9673233,40.76660919,1/10/15,20:27:21,20,0,2,129,179
-73.98214722,40.77827072,1/10/15,21:41:22,21,9.615384615,0.52,5,-73.98229218,40.77075958,1/10/15,21:45:55,21,1,2,180,180
-73.96747589,40.76313019,1/3/15,16:43:03,16,5.185185185,1.35,7,-73.97714233,40.74716187,1/3/15,16:50:13,16,1,2,179,75
-73.9560318,40.7794838,1/3/15,18:25:55,18,4.265402844,2.11,9,-73.97624207,40.75463867,1/3/15,18:35:56,18,0,2,179,21
-73.99456024,40.75053787,1/3/15,19:47:51,19,5.485893417,3.19,17.5,-73.98400116,40.72146988,1/3/15,20:14:41,20,1,2,20,107
